	Price	Baths	Land size	Beds	House size	Seller_type	town	district
13347	33000000	4	8.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13348	49500000	4	10.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
13349	18500000	3	7.5	3	1500.0	Premium-Member	 Malabe	  Colombo
13350	11000000	1	6.2	3	1500.0	Premium-Member	 Athurugiriya	  Colombo
13351	13000000	3	11.0	3	2750.0	Premium-Member	 Negombo	  Gampaha
13352	19000000	2	10.0	3	1615.0	Premium-Member	 Negombo	  Gampaha
13353	21500000	4	9.0	4	2400.0	Premium-Member	 Piliyandala	  Colombo
13354	34500000	4	8.5	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13355	25500000	3	6.1	4	2800.0	Premium-Member	 Piliyandala	  Colombo
13356	31000000	3	15.0	4	3150.0	Premium-Member	 Negombo	  Gampaha
13357	33000000	3	8.0	4	3300.0	Premium-Member	 Talawatugoda	  Colombo
13358	7500000	1	2.0	2	550.0	Premium-Member	 Colombo 9	  Colombo
13359	27000000	3	7.0	4	2900.0	Premium-Member	 Kottawa	  Colombo
13360	33000000	3	8.0	4	3300.0	Premium-Member	 Kottawa	  Colombo
13361	27000000	3	7.0	4	2900.0	Premium-Member	 Kottawa	  Colombo
13362	27000000	2	12.0	3	1950.0	Premium-Member	 Negombo	  Gampaha
13363	49000000	5	4.0	7	1089.0	Member	 Colombo 10	  Colombo
13364	48500000	4	14.0	6	3000.0	Premium-Member	 Piliyandala	  Colombo
13365	9500000	2	2.0	3	544.5	Premium-Member	 Colombo 5	  Colombo
13366	16000000	2	14.3	3	1200.0	Premium-Member	 Piliyandala	  Colombo
13367	42500000	3	11.0	4	3300.0	Premium-Member	 Talawatugoda	  Colombo
13368	18500000	2	12.0	4	3267.0	Member	 Homagama	  Colombo
13369	26000000	1	20.0	3	1800.0	Premium-Member	 Kiribathgoda	  Gampaha
13370	47500000	3	10.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13371	19000000	2	10.0	3	1610.0	Premium-Member	 Negombo	  Gampaha
13372	23000000	4	7.0	4	2600.0	Premium-Member	 Malabe	  Colombo
13373	60000000	4	15.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13374	33000000	3	6.0	3	1633.5	Member	 Nugegoda	  Colombo
13375	65000000	4	10.0	5	4000.0	Premium-Member	 Talawatugoda	  Colombo
13376	26500000	3	10.5	4	3150.0	Premium-Member	 Negombo	  Gampaha
13377	25500000	3	6.0	4	2400.0	Premium-Member	 Piliyandala	  Colombo
13378	26000000	4	16.0	5	4356.0	Member	 Athurugiriya	  Colombo
13379	115000000	4	22.0	5	4800.0	Premium-Member	 Talawatugoda	  Colombo
13380	27000000	4	11.5	10	4000.0	Premium-Member	 Nugegoda	  Colombo
13381	5500000	2	10.0	3	2722.5	Member	 Ja-Ela	  Gampaha
13382	29100000	2	13.0	3	1900.0	Premium-Member	 Nugegoda	  Colombo
13383	23500000	2	6.2	3	1300.0	Premium-Member	 Piliyandala	  Colombo
13384	37500000	5	14.5	4	4500.0	Premium-Member	 Kottawa	  Colombo
13385	27000000	3	7.0	4	2400.0	Premium-Member	 Kottawa	  Colombo
13386	29500000	3	12.0	4	3000.0	Premium-Member	 Kottawa	  Colombo
13387	17500000	2	7.5	4	2000.0	Premium-Member	 Kottawa	  Colombo
13388	23500000	2	6.2	3	1300.0	Premium-Member	 Kottawa	  Colombo
13389	25500000	5	7.0	4	2500.0	Premium-Member	 Piliyandala	  Colombo
13390	33000000	4	10.0	4	3850.0	Premium-Member	 Piliyandala	  Colombo
13391	18000000	2	6.8	2	1500.0	Premium-Member	 Athurugiriya	  Colombo
13392	30500000	4	8.0	5	3700.0	Premium-Member	 Piliyandala	  Colombo
13393	33000000	4	6.5	5	3600.0	Premium-Member	 Boralesgamuwa	  Colombo
13394	18500000	2	10.0	3	1200.0	Premium-Member	 Piliyandala	  Colombo
13395	19500000	3	6.5	4	2000.0	Premium-Member	 Piliyandala	  Colombo
13396	21500000	2	9.5	3	2000.0	Premium-Member	 Piliyandala	  Colombo
13397	17500000	2	7.0	5	2000.0	Premium-Member	 Negombo	  Gampaha
13398	21500000	4	9.5	4	2300.0	Premium-Member	 Piliyandala	  Colombo
13399	25000000	4	20.0	6	3500.0	Premium-Member	 Piliyandala	  Colombo
13400	27500000	4	7.5	4	3000.0	Premium-Member	 Piliyandala	  Colombo
13401	150000000	4	49.5	5	5750.0	Premium-Member	 Kiribathgoda	  Gampaha
13402	49500000	4	10.0	4	4200.0	Premium-Member	 Talawatugoda	  Colombo
13403	24800000	3	6.0	4	2400.0	Premium-Member	 Piliyandala	  Colombo
13404	65000000	4	12.5	5	4000.0	Premium-Member	 Talawatugoda	  Colombo
13405	115000000	4	22.0	5	4500.0	Premium-Member	 Talawatugoda	  Colombo
13406	60000000	4	15.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
13407	45000000	4	11.0	5	3800.0	Premium-Member	 Talawatugoda	  Colombo
13408	110000000	3	50.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13409	220000000	4	63.0	6	5000.0	Member	 Dehiwala	  Colombo
13410	36000000	4	10.0	4	3200.0	Premium-Member	 Malabe	  Colombo
13411	33000000	4	8.0	4	3000.0	Premium-Member	 Kottawa	  Colombo
13412	33000000	4	8.0	4	3000.0	Premium-Member	 Kottawa	  Colombo
13413	55000000	2	11.0	4	3300.0	Premium-Member	 Battaramulla	  Colombo
13414	170000000	7	24.0	6	1400.0	Premium-Member	 Battaramulla	  Colombo
13415	75000000	4	14.0	5	4000.0	Premium-Member	 Talawatugoda	  Colombo
13416	14000000	1	8.5	2	1500.0	Member	 Piliyandala	  Colombo
13417	13500000	4	12.0	7	2200.0	Member	 Pilimatalawa	  Kandy
13418	100000000	5	11.5	6	4100.0	Premium-Member	 Ratmalana	  Colombo
13419	4800000	1	10.5	2	1040.0	Member	 Minuwangoda	  Gampaha
13420	13500000	1	19.25	2	1382.0	Premium-Member	 Padukka	  Colombo
13421	53000000	4	16.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13422	110000000	3	50.2	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13423	32000000	2	10.5	4	2859.0	Premium-Member	 Battaramulla	  Colombo
13424	75000000	3	7.8	4	3000.0	Premium-Member	 Dehiwala	  Colombo
13425	14000000	2	10.0	3	1350.0	Premium-Member	 Athurugiriya	  Colombo
13426	18000000	3	8.0	3	1400.0	Premium-Member	 Athurugiriya	  Colombo
13427	15000000	3	10.0	3	1400.0	Premium-Member	 Athurugiriya	  Colombo
13428	23500000	4	7.0	4	2000.0	Premium-Member	 Malabe	  Colombo
13429	34000000	4	9.0	4	2600.0	Premium-Member	 Maharagama	  Colombo
13430	55000000	4	11.0	4	3300.0	Premium-Member	 Battaramulla	  Colombo
13431	26000000	4	10.5	5	2500.0	Premium-Member	 Malabe	  Colombo
13432	6800000	2	10.0	3	800.0	Premium-Member	 Kiribathgoda	  Gampaha
13433	20500000	3	10.0	3	2000.0	Premium-Member	 Negombo	  Gampaha
13434	60000000	4	15.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13435	40000000	2	7.0	3	3300.0	Premium-Member	 Talawatugoda	  Colombo
13436	170000000	3	20.0	4	4500.0	Premium-Member	 Nugegoda	  Colombo
13437	40000000	4	10.0	5	3000.0	Premium-Member	 Piliyandala	  Colombo
13438	111000000	3	7.5	5	3000.0	Premium-Member	 Colombo 6	  Colombo
13439	29000000	2	1.46	2	395.03	Premium-Member	 Colombo 9	  Colombo
13440	7000000	2	8.0	3	2200.0	Premium-Member	 Moratuwa	  Colombo
13441	52000000	2	24.0	4	2000.0	Member	 Galle City	  Galle
13442	11000000	1	6.2	3	1500.0	Premium-Member	 Kaduwela	  Colombo
13443	18500000	3	11.0	3	1450.0	Member	 Kottawa	  Colombo
13444	25500000	3	6.2	5	2600.0	Premium-Member	 Piliyandala	  Colombo
13445	2600000	1	47.0	3	1000.0	Member	 Beruwala	  Kalutara
13446	19000000	2	10.0	3	1600.0	Member	 Negombo	  Gampaha
13447	14500000	1	5.6	3	1400.0	Premium-Member	 Piliyandala	  Colombo
13448	308000000	3	22.0	5	3100.0	Premium-Member	 Colombo 5	  Colombo
13449	27500000	5	7.5	5	2300.0	Premium-Member	 Piliyandala	  Colombo
13450	11000000	1	7.0	2	1500.0	Premium-Member	 Homagama	  Colombo
13451	42500000	5	13.2	8	5026.0	Premium-Member	 Nugegoda	  Colombo
13452	27000000	3	7.5	5	3216.0	Premium-Member	 Kottawa	  Colombo
13453	15000000	1	10.5	2	1350.0	Premium-Member	 Negombo	  Gampaha
13454	41000000	5	16.0	5	5200.0	Premium-Member	 Kottawa	  Colombo
13455	30500000	3	7.5	4	3250.0	Premium-Member	 Piliyandala	  Colombo
